,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
0,1,0,1,41,2,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,24,10,0,0,0,0,0.1481481481,0.1363636364,0,1,0,1,0,0.1851851852,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,1,40,2,0,0,0,0,2,0,0,0,3,1,1,0,0,1,0,13,20,0,0,0,1,0.0,1.0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1
2,0,1,3,53,2,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,17,29,0,0,0,0,0.0,0.2,1,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
3,0,0,1,89,3,0,0,0,0,0,0,0,0,14,1,1,0,0,1,0,16,66,0,0,0,0,0.0347222222,0.0614035088,0,1,0,0,0,0.0277777778,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
4,1,1,3,101,1,0,0,0,1,0,0,0,0,6,1,1,0,0,1,0,11,49,33,0,0,0,0.1276595745,0.0677966102,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0,0,3,118,0,0,0,0,2,0,2,3,0,14,1,1,0,0,0,0,23,26,61,0,0,1,0.0779220779,0.125,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
6,1,1,3,56,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,16,33,0,0,0,0,0.4426229508,0.8070175439,0,1,1,0,0,0.0737704918,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0
7,1,0,1,63,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,33,0,0,0,0,0.6,0.1333333333,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0
8,1,0,1,33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,8,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
9,1,1,1,44,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,22,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10,0,0,1,109,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,22,18,61,0,0,0,0.0,0.0769230769,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,3,0,1,55,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,31,17,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
12,3,0,1,50,2,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,15,28,0,0,1,0,0.8181818182,0.1538461538,1,1,0,0,0,0.0909090909,0,0,0,0,0,1,0,0,1,1,2,0,0,2,1
13,0,0,1,70,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,31,32,0,0,0,0,0.1156069364,1.0,1,1,0,0,0,0.0115606936,0,0,0,0,0,1,0,0,0,2,1,0,2,1,0
14,0,0,1,44,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,16,21,0,0,0,0,0.0051813472,0.0952380952,0,1,1,0,1,0.0207253886,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
15,1,1,1,75,0,0,0,0,0,0,1,1,0,6,1,0,0,0,1,0,18,26,23,0,0,0,0.2556053812,0.7704918033,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,2,0,1,2,1,0
16,0,0,0,64,2,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,18,39,0,0,0,0,0.0143149284,0.0446428571,0,1,0,0,0,0.0102249489,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0
17,0,0,1,32,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,15,0,0,0,0,0.3333333333,0.3043478261,0,0,0,0,0,0.0877192982,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
18,1,1,1,47,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,22,18,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
19,1,0,1,32,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1,0,0,0,0,0.0,0.25,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20,1,0,1,55,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,17,31,0,0,0,0,0.1446540881,1.0,1,1,0,0,0,0.0566037736,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0
21,3,1,1,175,0,0,0,0,1,1,1,1,0,27,1,1,0,0,1,0,10,21,136,0,1,0,0.1666666667,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
22,1,1,3,218,3,0,0,0,0,2,0,0,0,26,1,1,0,0,1,0,13,90,107,0,0,0,0.1616766467,0.988372093,1,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0
23,1,1,1,55,0,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,6,42,0,0,0,0,0.2748091603,0.9523809524,1,1,0,1,0,0.0,0,0,0,0,1,1,0,0,0,2,1,1,2,1,0
24,1,1,1,68,2,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,11,10,39,0,0,0,0.0080428954,0.2,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
25,3,0,1,54,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,14,17,15,0,0,0,0.1014492754,0.0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0
26,1,1,1,38,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,21,10,0,0,0,0,1.0,0.1052631579,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
27,1,1,3,63,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,26,30,0,0,1,0,0.0853658537,0.7105263158,0,1,0,1,0,0.0203252033,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0
28,1,0,1,34,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,10,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,1
29,0,1,1,63,2,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,19,37,0,0,0,1,0.9428571429,0.9666666667,1,1,1,0,1,0.0571428571,1,0,0,0,0,1,0,0,0,2,1,2,2,2,1
30,2,1,1,90,2,0,0,0,0,2,0,0,0,6,1,1,0,0,1,0,11,72,0,0,3,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
31,0,0,1,197,0,0,0,0,2,0,2,3,0,4,1,0,0,0,0,0,18,13,158,0,0,0,0.2173913043,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
32,1,0,3,50,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,25,0,0,0,0,0.9769585253,1.0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,1
33,0,0,1,54,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,17,30,0,0,0,0,0.2857142857,0.8181818182,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0
34,1,1,1,56,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,24,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
35,1,0,3,93,0,0,0,0,0,0,0,0,0,18,1,1,0,0,0,0,29,57,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,1
36,1,0,3,59,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,14,38,0,0,0,0,0.0403225806,0.8571428571,0,1,0,0,0,0.0241935484,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0
37,0,0,3,56,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,35,0,0,0,0,0.0,0.0740740741,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
38,1,0,3,58,2,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,19,24,7,0,0,0,0.021978022,0.9,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0
39,1,1,1,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,31,0,0,0,0,0.0,0.0540540541,0,0,0,0,0,0.0892857143,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
40,0,0,1,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,24,0,0,0,0,0.0,0.0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
41,1,1,1,39,0,3,0,0,2,0,0,0,0,2,1,1,0,0,0,0,18,14,0,0,1,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,1
42,3,2,0,84,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,32,45,0,0,0,0,0.0,0.8,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,2,0,2,1,2,1,1
43,0,0,1,74,2,0,0,0,0,0,1,1,0,8,1,0,0,0,0,0,27,15,24,0,0,0,0.0612244898,0.1860465116,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0
44,1,1,1,38,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,23,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
45,1,1,1,71,2,0,0,0,2,0,1,0,0,9,1,0,0,0,1,0,10,26,27,0,0,0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,2,1,0,2,2,0
46,3,0,1,50,2,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,18,14,10,0,0,0,0.0185873606,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
47,3,1,3,62,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,14,41,0,0,0,1,0.7857142857,1.0,1,1,0,0,0,0.2142857143,1,0,0,0,0,1,0,0,0,2,1,0,2,2,1
48,0,1,1,46,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,22,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
49,1,0,1,94,1,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,13,74,0,0,0,0,0.1339285714,1.0,1,1,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0
50,3,0,1,57,2,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,16,34,0,0,0,0,0.0344827586,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
51,0,1,1,35,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,12,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
52,1,1,1,28,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,9,0,0,0,0,0.0862068966,0.3095238095,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
53,0,1,3,60,0,3,0,0,2,0,0,0,0,3,1,0,0,0,1,0,24,29,0,0,0,0,1.0,1.0,1,1,0,0,0,0.0,1,0,0,0,0,1,0,0,0,2,1,0,2,2,1
54,1,1,3,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,38,0,0,0,0,0.0618556701,0.5,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0
55,1,1,1,65,0,3,0,0,0,0,0,0,0,3,1,0,0,0,1,0,21,37,0,0,0,0,0.0740740741,0.6470588235,0,1,1,0,1,0.1296296296,0,0,0,0,0,1,0,0,0,2,1,2,0,1,0
56,1,1,1,70,2,0,0,0,1,0,0,0,0,8,1,1,0,0,1,0,10,53,0,0,0,0,0.08125,0.2142857143,0,1,1,0,1,0.0125,0,0,0,0,1,1,0,0,0,2,0,2,0,1,0
57,1,1,2,170,0,0,0,0,0,0,0,0,0,39,1,1,0,0,1,0,26,137,0,0,2,1,0.6470588235,0.9032258065,1,1,0,0,0,0.3529411765,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1
58,0,1,3,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,39,0,0,1,1,0.9230769231,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,1
59,1,1,1,66,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,10,33,0,0,0,0.0099009901,0.0857142857,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
60,0,0,3,63,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,44,0,0,0,0,0.9230769231,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,1
61,0,0,1,55,0,3,0,0,0,0,0,0,0,3,1,1,0,0,0,0,29,19,0,0,1,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
62,1,1,1,38,0,3,0,0,0,0,0,0,0,6,1,1,0,0,1,0,9,22,0,0,0,0,0.1428571429,0.0873015873,0,0,0,0,0,0.0102040816,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
